City,Date_Updated,Country,Latitude,Longitude,Temperature_Max,Humidity,Cloudiness,Wind_Speed
rikitea,2020-05-27,PF,-23.12,-134.97,75.6,82,0,9.93
chuy,2020-05-27,UY,-33.7,-53.46,60.57,57,0,4.05
ushuaia,2020-05-27,AR,-54.8,-68.3,37.4,76,97,10.29
cabo san lucas,2020-05-27,MX,22.89,-109.91,81,44,5,3.42
shimoda,2020-05-27,JP,34.67,138.95,64.99,78,100,3
ilulissat,2020-05-27,GL,69.22,-51.1,35.6,59,75,4.7
vaini,2020-05-27,TO,-21.2,-175.2,69.8,94,20,2.24
mataura,2020-05-27,NZ,-46.19,168.86,37.45,93,0,2.53
atuona,2020-05-27,PF,-9.8,-139.03,80.26,74,21,5.99
mgandu,2020-05-27,TZ,-5.95,34.13,70.03,58,9,4.94
portland,2020-05-27,US,45.52,-122.68,59,93,75,4.7
sao francisco,2020-05-27,BR,-15.95,-44.86,77.25,49,0,5.23
kungsbacka,2020-05-27,SE,57.49,12.08,57,54,100,11.41
lubango,2020-05-27,AO,-14.92,13.49,78.8,35,85,4.7
yellowknife,2020-05-27,CA,62.46,-114.35,39.99,60,40,5.82
samana,2020-05-27,DO,19.21,-69.34,84.2,89,20,6.93
vardo,2020-05-27,NO,70.37,31.11,51.8,57,99,8.05
saint-philippe,2020-05-27,RE,-21.36,55.77,73.4,78,31,4.7
chokurdakh,2020-05-27,RU,70.63,147.92,47.66,52,99,15.3
saldanha,2020-05-27,ZA,-33.01,17.94,59,58,4,8.05
nijar,2020-05-27,ES,36.97,-2.21,86,28,0,27.51
thompson,2020-05-27,CA,55.74,-97.86,42.8,87,90,12.75
butaritari,2020-05-27,KI,3.07,172.79,81.12,76,92,5.1
pisco,2020-05-27,PE,-13.7,-76.22,66.2,82,90,5.82
mucurapo,2020-05-27,TT,10.67,-61.53,91.4,55,40,14.99
port elizabeth,2020-05-27,ZA,-33.92,25.57,57.2,54,9,11.41
nantucket,2020-05-27,US,41.28,-70.1,64,87,90,6.93
albany,2020-05-27,US,42.6,-73.97,81,60,1,5.26
hilo,2020-05-27,US,19.73,-155.09,71.6,83,90,5.82
tahta,2020-05-27,EG,26.77,31.5,96.8,12,0,16.11
punta arenas,2020-05-27,CL,-53.15,-70.92,37.4,86,94,5.82
sobolevo,2020-05-27,RU,54.43,31.9,58.68,78,100,6.82
zlotoryja,2020-05-27,PL,51.13,15.92,68,18,50,5.88
pangnirtung,2020-05-27,CA,66.15,-65.71,30.2,74,90,11.41
jamestown,2020-05-27,US,42.1,-79.24,75.99,64,1,9.17
provideniya,2020-05-27,RU,64.38,-173.3,34.52,93,100,13.56
cidreira,2020-05-27,BR,-30.18,-50.21,58.57,68,75,10.09
cape town,2020-05-27,ZA,-33.93,18.42,60.01,67,75,14.99
komsomolskiy,2020-05-27,UZ,40.43,71.72,87.8,38,0,4.7
kloulklubed,2020-05-27,PW,7.04,134.26,82.4,83,75,8.05
saeby,2020-05-27,DK,57.33,10.52,60.01,63,100,5.01
rabo de peixe,2020-05-27,PT,37.8,-25.58,69.8,64,40,13.87
lockhart,2020-05-27,US,28.62,-81.44,90,70,75,9.17
andenes,2020-05-27,NO,69.31,16.12,48.2,61,75,25.28
lebu,2020-05-27,CL,-37.62,-73.65,56.46,73,0,16.89
yangjiang,2020-05-27,CN,21.85,111.97,80.17,86,40,1.23
kahului,2020-05-27,US,20.89,-156.47,73.4,73,1,6.93
new norfolk,2020-05-27,AU,-42.78,147.06,46.99,79,62,3.06
iqaluit,2020-05-27,CA,63.75,-68.51,26.6,68,75,13.87
avera,2020-05-27,US,33.19,-82.53,73.4,80,90,6.93
